Released in version:,Subfeature ID,Journey,Add-on,Feature,Sub Feature,Mobile,Web,Essential,Premium,Signature
2022.08-LTS or earlier,CC.10.1.1,Messages,,Message List & Details ,View list of incoming and sent messages ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.1.2,Messages,,Message List & Details ,Save a draft and view draft messages,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.1.3,Messages,,Message List & Details ,Mark conversations as read and not read,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.1.4,Messages,,Message List & Details ,Delete conversations (single or in bulk & sent or received),Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.1.5,Messages,,Message List & Details ,See conversation threads and their details ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.1.6,Messages,,Message List & Details ,Reply to conversations,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.1.7,Messages,,Message List & Details ,Preview message attachments ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.2.1,Messages,,Compose Message,"Compose a message with a topic, a subject, and a body",Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.2.2,Messages,,Compose Message,Attach files and remove attachments before sending,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.10.2.3,Messages,,Compose Message,View auto reply of assigned employee,Available ,Available ,true,true,true
2025.09-LTS,CC.11.1.1,Notifications,,Notification List,View the list of notifications,Available,Available,true,true,true
2022.08-LTS or earlier,CC.11.1.2,Notifications,,Notification List,Mark notifications as read,Available,Available,true,true,true
2022.08-LTS or earlier,CC.11.1.3,Notifications,,Notification List,Delete the notifications,Available,Available,true,true,true
2022.08-LTS or earlier,CC.11.2.1,Notifications,,User Notification Preference,Turn on/off notifications when contact request initiated by the user is rejected,Available,Available,true,true,true
2022.11,CC.11.2.2,Notifications,,User Notification Preference,Turn on/off notifiactions when the user needs to approve a contact,Available,Available,true,true,true
2022.11,CC.11.2.3,Notifications,,User Notification Preference,Turn on/off notifications when payment initiated by the user is rejected,Available,Available,true,true,true
2022.11,CC.11.2.4,Notifications,,User Notification Preference,Turn on/off notifications when the user needs to approve a payment,Available,Available,true,true,true
2022.11,CC.11.2.5,Notifications,,User Notification Preference,"Turn on/off notifications when the balance of an account drops below the specified amount (push, SMS, email)",Available ,Not Available,true,true,true
2022.11,CC.11.2.6,Notifications,,User Notification Preference,"Turn on/off notifications when a new debit or credit takes place on an account (push, SMS, email)",Available ,Not Available,true,true,true
2022.11,CC.11.2.7,Notifications,,User Notification Preference,Turn on/off notifications when the initiated batch or payment in batch is rejected,Available,Available,true,true,true
2024.03-LTS,CC.11.2.8,Notifications,,User Notification Preference,Turn on/off notifications when there is a batch that needs to approved,Available,Available,true,true,true
2024.03-LTS,CC.12.1.1,User Self-Service ,,User Profile,Display user's personal information,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.12.1.2,User Self-Service ,,User Profile,Add phone numbers and emails,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.12.1.3,User Self-Service ,,User Profile,Edit phone numbers and emails ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.12.1.4,User Self-Service ,,User Profile,Remove phone numbers and emails,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.12.1.5,User Self-Service ,,User Profile,Edit postal addresses using Smarty autocomplete,Not Available,Available,true,true,true
2024.01,CC.12.1.6,User Self-Service ,,User Profile,Edit postal addresses,Not Available,Available,false,false,false
2024.01,CC.12.1.7,User Self-Service ,,User Profile,Change preferred language,Not Available,Available ,true,true,true
2024.01,CC.12.1.8,User Self-Service,Identity Premium,User Profile,Step-up authentication with passcode,Available ,NA,false,true,true
2024.01,CC.12.1.9,User Self-Service,Identity Premium,User Profile,Step-up authentication with biometrics,Available ,NA,false,true,true
2024.01,CC.12.1.10,User Self-Service,Identity Premium,User Profile,Step-up authentication with OTP via SMS,NA,Available ,false,true,true
2024.01,CC.12.1.11,User Self-Service,Identity Premium,User Profile,Step-up authentication with OTP via Email,NA,Available ,false,true,true
2024.01,CC.12.2.1,User Self-Service ,,Manage Security,Change password,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.12.2.2,User Self-Service ,,Manage Security,Change username,NA,NA,true,true,true
2023.09-LTS,CC.12.2.3,User Self-Service ,,Manage Security,Enable biometrics,Available ,NA,true,true,true
2024.01,CC.12.2.4,User Self-Service ,Identity Premium,Manage Security,"Step-up authentication on change password, with OTP via SMS",NA,Available ,false,true,true
2024.01,CC.12.2.5,User Self-Service ,Identity Premium,Manage Security,"Step-up authentication on change password, with OTP via Email",NA,Available ,false,true,true
2024.01,CC.12.2.6,User Self-Service ,,Manage Security,Change passcode,Available ,NA,true,true,true
2024.01,CC.12.3.1,User Self-Service ,,Manage Devices,Add or modify a friendly name for a device	,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.12.3.2,User Self-Service ,,Manage Devices,Suspend a device to temporarily disable it,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.12.3.3,User Self-Service ,,Manage Devices,Restore a suspended device,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.12.3.4,User Self-Service ,,Manage Devices,Remove a device to permanently disable it,Not Available,Available ,true,true,true
2022.08-LTS or earlier,CC.42.1.1,User Management,,User Profile,View users personal details,Not Available,Available,true,true,true
2025.09-LTS,CC.42.1.2,User Management,,User Profile,Add multiple phone numbers and emails,Not Available,Available,true,true,true
2025.09-LTS,CC.42.1.3,User Management,,User Profile,"Edit names, phone numbers, emails, and postal addresses",Not Available,Available,true,true,true
2025.09-LTS,CC.42.1.4,User Management,,User Profile,Remove phone numbers and emails,Not Available,Available,true,true,true
2025.09-LTS,CC.42.1.5,User Management,,User Profile,Approve or reject user profile changes,Not Available,Available,true,true,true
2025.09-LTS,CC.42.2.1,User Management,,Login & Security,Reset users password,Not Available,Available,true,true,true
2025.09-LTS,CC.42.2.2,User Management,,Login & Security,Require user actions on next login,Not Available,Available,true,true,true
2025.09-LTS,CC.42.3.1,User Management,,Devices,Add or modify a friendly name for a device,Not Available,Available,true,true,true
2025.09-LTS,CC.42.3.2,User Management,,Devices,Suspend a device to temporarily disable it,Not Available,Available,true,true,true
2025.09-LTS,CC.42.3.3,User Management,,Devices,Restore a suspended device,Not Available,Available,true,true,true
2025.09-LTS,CC.42.3.4,User Management,,Devices,Remove a device to permanently disable it,Not Available,Available,true,true,true
2025.09-LTS,CC.42.4.1,User Management,,Sessions,View all active sessions,Not Available,Available,true,true,true
2025.09-LTS,CC.42.4.2,User Management,,Sessions,End all sessions,Not Available,Available,true,true,true
2025.09-LTS,CC.42.5.1,User Management,,Manage Access,Lock/Unlock users account,Not Available,Available,true,true,true
2025.09-LTS,CC.42.5.2,User Management,,Manage Access,Revoke users account access,Not Available,Available,true,true,true
2025.09-LTS,CC.42.5.3,User Management,,Manage Access,Approve or reject unlock access request,Not Available,Available,true,true,true
2025.09-LTS,CC.13.1.1,Batches,,Upload batch file,Upload a batch file based on a predefined format,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.1.2,Batches,,Upload batch file,Upload a delimited file based on user-defined format,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.1.3,Batches,,Upload batch file,View user file upload overview with status,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.1.4,Batches,,Upload batch file,Transaction signing when uploading a batch file,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.2.1,Batches,,Manual Batch,Manually create and submit batches,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.2.2,Batches,,Manual Batch,Transaction signing when submitting a manual batch,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.3.1,Batches,,Manage Templates,View batch templates,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.3.2,Batches,,Manage Templates,Create a batch template,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.3.3,Batches,,Manage Templates,Edit batch templates,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.3.4,Batches,,Manage Templates,Apply a batch template,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.3.5,Batches,,Manage Templates,Delete a batch template,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.3.6,Batches,,Manage Templates,Duplicate a batch template,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.3.7,Batches,,Manage Templates,Approve or reject batch templates,Not Available,Available ,true,true,true
2025.09-LTS,CC.13.4.1,Batches,,Manage Batch Payments,View batches,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.13.4.2,Batches,,Manage Batch Payments,Approve or reject batch payments,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.13.4.3,Batches,,Manage Batch Payments,Transaction signing when approving/rejecting a batch,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.13.4.4,Batches,,Manage Batch Payments,Delete a batch payment,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.13.4.5,Batches,,Manage Batch Payments,Cancel a batch payment,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.13.4.6,Batches,,Manage Batch Payments,Reverse a complete batch or some payments within a batch,NA,Available ,true,true,true
2023.02-LTS,CC.13.4.7,Batches,,Manage Batch Payments,Duplicate a batch ,NA,Available ,true,true,true
2024.01,CC.13.4.8,Batches,,Manage Batch Payments,Export batch list and details,NA,Available ,true,true,true
2024.09-LTS,CC.15.1.1,Payments,,Initiate Payment,Submit a one-time or recurring payment,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.1.2,Payments,,Initiate Payment,Save a contact while initiating payment,Available ,Available,true,true,true
2022.08-LTS or earlier,CC.15.1.3,Payments,,Initiate Payment,Send an urgent payment,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.1.4,Payments,,Initiate Payment,Submit and approve a payment,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.1.5,Payments,,Initiate Payment,Select a contact while making a payment,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.1.6,Payments,,Initiate Payment,Initiate SEPA credit transfer,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.15.1.7,Payments,,Initiate Payment,Initiate domestic USD wire transfer,Available ,Available ,false,true,true
2022.08-LTS or earlier,CC.15.1.8,Payments,,Initiate Payment,Initiate International SWIFT transfer,Available ,Available ,false,true,true
2022.08-LTS or earlier,CC.15.1.9,Payments,,Initiate Payment,Configure the journey for a custom payment type,Available ,Available ,true,true,true
2024.12,CC.15.1.10,Payments,,Initiate Payment,Payment wizard,Available ,Available ,true,true,true
